ExtraAttribuut;naam,waarde
Foutbericht;code,omschrijving
Kwaliteitsmetingsresultaat;id,idExtern,idGegevensbeheerder,code,omschrijving,datumReactie,beoordelingsSchaal,beoordelingsWaarde,kwaliteitsmetingsverzoek,onderzoeksopdracht,resultaatReactie,toelichtingBeoordeling,extra-attributen,informatieobjecten
Kwaliteitsmetingsverzoek;id,idExtern,idGegevensbeheerder,code,soort,omschrijving,status,afgerondeZaak,contactmoment,eenheid,kwaliteitsmetingresultaat,onderhoudsverzoek,onderzoeksopdracht,overeenkomst,relaties,teEnqueterenRelatie,extra-attributen,informatieobjecten
Onderzoeksopdracht;id,idExtern,idGegevensbeheerder,code,soort,omschrijving,status,antwoorden,contactgegeven,kanaal,postadres,relatie,vragenlijst,extra-attributen,informatieobjecten
Onderzoeksresultaat;id,idExtern,idGegevensbeheerder,code,antwoorden,opdracht,extra-attributen,informatieobjecten
Referentiedata;id,idExtern,idGegevensbeheerder,code,soort,naam,omschrijving,parent,begindatum,einddatum,sortering
Vragenlijst;id,idExtern,idGegevensbeheerder,code,soort,omschrijving,vragen,extra-attributen,informatieobjecten
VragenlijstAntwoord;id,idExtern,idGegevensbeheerder,code,antwoord,toelichting,vraag,extra-attributen,informatieobjecten
VragenlijstRegel;id,idExtern,idGegevensbeheerder,code,soort,omschrijving,opties,volgordenummer,vragenlijsten,extra-attributen,informatieobjecten
